description,tags,title
"Designer Jessi Arrington packed nothing for TEDActive but 7 pairs of undies, buying the rest of her clothes in thrift stores around LA. It's a meditation on conscious consumption -- wrapped in a rainbow of color and creativity.","['consumerism', 'creativity', 'culture', 'design', 'fashion']",Wearing nothing new
"Damon Horowitz reviews the enormous new powers that technology gives us: to know more -- and more about each other -- than ever before. Drawing the audience into a philosophical discussion, Horowitz invites us to pay new attention to the basic philosophy -- the ethical principles -- behind the burst of invention remaking our world. Where's the moral operating system that allows us to make sense of it?","['TEDx', 'culture', 'philosophy', 'technology']","We need a ""moral operating system"""
"Renowned paleontologist Jack Horner has spent his career trying to reconstruct a dinosaur. He's found fossils with extraordinarily well-preserved blood vessels and soft tissues, but never intact DNA. So, in a new approach, he's taking living descendants of the dinosaur (chickens) and genetically engineering them to reactivate ancestral traits — including teeth, tails, and even hands — to make a ""Chickenosaurus"".","['dinosaurs', 'genetics', 'paleontology', 'science']",Building a dinosaur from a chicken
"Janet Echelman found her true voice as an artist when her paints went missing -- which forced her to look to an unorthodox new art material. Now she makes billowing, flowing, building-sized sculpture with a surprisingly geeky edge. A transporting 10 minutes of pure creativity.","['art', 'cities', 'culture', 'data', 'design', 'technology', 'visualizations']",Taking imagination seriously
"Back in 2009, Paul Romer unveiled the idea for a ""charter city"" -- a new kind of city with rules that favor democracy and trade. This year, at TED2011, he tells the story of how such a city might just happen in Honduras ... with a little help from his TEDTalk.","['business', 'cities', 'culture', 'design', 'global issues']",The world's first charter city?
"Alice Dreger works with people at the edge of anatomy, such as conjoined twins and intersexed people. In her observation, it's often a fuzzy line between male and female, among other anatomical distinctions. Which brings up a huge question: Why do we let our anatomy determine our fate?","['Gender spectrum', 'TEDx', 'culture', 'gender']",Is anatomy destiny?
"Even when our lives appear fine from the outside, locked within can be a world of quiet suffering, leading some to the decision to end their life. At TEDYou, JD Schramm asks us to break the silence surrounding suicide and suicide attempts, and to create much-needed resources to help people who reclaim their life after escaping death. Resources: http://t.co/wsNrY9C","['communication', 'culture', 'depression', 'mental health', 'storytelling', 'suicide']",Break the silence for suicide attempt survivors
"Daniel Kraft offers a fast-paced look at the next few years of innovations in medicine, powered by new tools, tests and apps that bring diagnostic information right to the patient's bedside.","['TEDx', 'design', 'health care', 'science', 'technology']",Medicine's future? There's an app for that
"How do you stage an international art show with work from 100 different artists? If you're Shea Hembrey, you invent all of the artists and artwork yourself -- from large-scale outdoor installations to tiny paintings drawn with a single-haired brush. Watch this funny, mind-bending talk to see the explosion of creativity and diversity of skills a single artist is capable of.","['art', 'creativity', 'design', 'storytelling']",How I became 100 artists
"Steve Keil fights the ""serious meme"" that has infected his home of Bulgaria -- and calls for a return to play to revitalize the economy, education and society. A sparkling talk with a universal message for people everywhere who are reinventing their workplaces, schools, lives.","['Europe', 'TEDx', 'business', 'culture', 'economics', 'play', 'social change']","A manifesto for play, for Bulgaria and beyond"
"Photographer Camille Seaman shoots icebergs, showing the world the complex beauty of these massive, ancient chunks of ice. Dive in to her photo slideshow, ""The Last Iceberg.""","['TED Fellows', 'art', 'glacier', 'global issues', 'photography']",Haunting photos of polar ice
"Musician and inventor Onyx Ashanti demonstrates ""beatjazz"" -- his music created with two handheld controllers, an iPhone and a mouthpiece, and played with the entire body. At TED's Full Spectrum Auditions, after locking in his beats and loops, he plays a 3-minute song that shares his vision for the future of music.","['design', 'entertainment', 'live music', 'music', 'technology']",This is beatjazz
"Cellist Maya Beiser plays a gorgeous eight-part modern etude with seven copies of herself, and segues into a meditative music/video hybrid -- using tech to create endless possibilities for transformative sound. Music is Steve Reich's ""Cello Counterpoint,"" with video from Bill Morrison, then David Lang's ""World to Come,"" with video by Irit Batsry.","['design', 'entertainment', 'live music', 'music', 'technology']",A cello with many voices
"Bill Ford is a car guy -- his great-grandfather was Henry Ford, and he grew up inside the massive Ford Motor Co. So when he worries about cars' impact on the environment, and about our growing global gridlock problem, it's worth a listen. His vision for the future of mobility includes ""smart roads,"" even smarter public transport and going green like never before.","['cars', 'cities', 'design', 'driverless cars', 'infrastructure', 'mobility', 'technology']",A future beyond traffic gridlock
"Daniel Tammet has linguistic, numerical and visual synesthesia -- meaning that his perception of words, numbers and colors are woven together into a new way of perceiving and understanding the world. The author of ""Born on a Blue Day,"" Tammet shares his art and his passion for languages in this glimpse into his beautiful mind.","['brain', 'culture']",Different ways of knowing
"Did you ever have a teacher who cared for you when no one else did? Jok Church tells a short, moving story of the teacher who sheltered him as a young gay teen and helped him grow -- and how, many years later, he and his partner had the privilege of returning the favor.","['culture', 'love', 'storytelling']",A circle of caring
"Artist-technologist Honor Harger listens to the weird and wonderful noises of stars and planets and pulsars. In her work, she tracks the radio waves emitted by ancient celestial objects and turns them into sound, including ""the oldest song you will ever hear,"" the sound of cosmic rays left over from the Big Bang.","['art', 'astronomy', 'design', 'entertainment', 'physics', 'sound', 'technology']",A history of the universe in sound
"At TED's Full Spectrum Auditions, comedian Joshua Walters, who's bipolar, walks the line between mental illness and mental ""skillness."" In this funny, thought-provoking talk, he asks: What's the right balance between medicating craziness away and riding the manic edge of creativity and drive?","['brain', 'depression', 'entertainment', 'mental health', 'performance']",On being just crazy enough
"In this passionate talk that's already caused a sensation in Mexico, Emiliano Salinas, son of former president Carlos Salinas de Gortari, confronts the current climate of violence in Mexico -- or rather, how Mexican society responds to it. He calls on ordinary citizens to move from denial and fear to peaceful, community-based action. (Delivered in Spanish with English subtitles.)","['TED en Español', 'TEDx', 'community', 'crime', 'global issues', 'peace', 'social change', 'terrorism', 'violence']",A civil response to violence
"Rajesh Rao is fascinated by ""the mother of all crossword puzzles"": how to decipher the 4000-year-old Indus script. He's enlisting modern computation to try to read this lost language, the key to understanding this ancient civilization.","['computers', 'history', 'language', 'science']",A Rosetta Stone for a lost language
"When Dave deBronkart learned he had a rare and terminal cancer, he turned to a group of fellow patients online -- and found the medical treatment that saved his life. Now he calls on all patients to talk with one another, know their own health data, and make health care better one e-Patient at a time.","['TEDx', 'collaboration', 'culture', 'data', 'health care', 'science', 'technology']",Meet e-Patient Dave
"New York was planning to tear down the High Line, an abandoned elevated railroad in Manhattan, when Robert Hammond and a few friends suggested: Why not make it a park? He shares how it happened in this tale of local cultural activism.","['activism', 'architecture', 'cities', 'culture', 'public spaces']",Building a park in the sky
"Is there something you've always meant to do, wanted to do, but just ... haven't? Matt Cutts suggests: Try it for 30 days. This short, lighthearted talk offers a neat way to think about setting and achieving goals.","['culture', 'success']",Try something new for 30 days
"Cookbook author (and geek) Nathan Myhrvold talks about his magisterial work, ""Modernist Cuisine"" -- and shares the secret of its cool photographic illustrations, which show cross-sections of food in the very act of being cooked.","['TED Brain Trust', 'art', 'creativity', 'design', 'entertainment', 'food', 'photography', 'technology']",Cooking as never seen before
"In this visually dazzling talk, Jonathan Drori shows the extraordinary ways flowering plants -- over a quarter million species -- have evolved to attract insects to spread their pollen: growing 'landing-strips' to guide the insects in, shining in ultraviolet, building elaborate traps, and even mimicking other insects in heat.","['bees', 'biology', 'botany', 'environment', 'insects', 'life', 'plants', 'science', 'sex']",The beautiful tricks of flowers
"After a catastrophic car accident that left him in a coma, Simon Lewis found ways to recover -- physically and mentally -- beyond all expectations. At the INK Conference he tells how this remarkable story led him to concern over all threats to consciousness, and how to overcome them.","['consciousness', 'medicine', 'technology']",Don't take consciousness for granted
"Tissue engineer and TED Fellow Nina Tandon is growing artificial hearts and bones. To do that, she needs new ways of caring for artificially grown cells -- techniques she's developed by the simple but powerful method of copying their natural environments.","['TED Fellows', 'biology', 'biomimicry', 'biotech', 'science']",Caring for engineered tissue
"In this powerful talk from TEDGlobal, Rebecca MacKinnon describes the expanding struggle for freedom and control in cyberspace, and asks: How do we design the next phase of the Internet with accountability and freedom at its core, rather than control? She believes the internet is headed for a ""Magna Carta"" moment when citizens around the world demand that their governments protect free speech and their right to connection.","['Surveillance', 'culture', 'protests', 'social media']",Let's take back the Internet!
"Why do transnational extremist organizations succeed where democratic movements have a harder time taking hold? Maajid Nawaz, a former Islamist extremist, asks for new grassroots stories and global social activism to spread democracy in the face of nationalism and xenophobia.","['culture', 'democracy', 'global issues', 'politics']",A global culture to fight extremism
"Economics writer Tim Harford studies complex systems -- and finds a surprising link among the successful ones: they were built through trial and error. In this sparkling talk from TEDGlobal 2011, he asks us to embrace our randomness and start making better mistakes.","['business', 'creativity', 'culture', 'society']","Trial, error and the God complex"
"As political turmoil in Yemen continues, the editor of the Yemen Times, Nadia Al-Sakkaf, talks at TEDGlobal with host Pat Mitchell. Al-Sakkaf's independent, English-language paper is vital for sharing news -- and for sharing a new vision of Yemen and of that country's women as equal partners in work and change.","['communication', 'global issues', 'journalism', 'war', 'women']",See Yemen through my eyes
"It's been 25 years since the first PC virus (Brain A) hit the net, and what was once an annoyance has become a sophisticated tool for crime and espionage. Computer security expert Mikko Hyppönen tells us how we can stop these new viruses from threatening the internet as we know it.","['Internet', 'TEDx', 'computers', 'crime', 'global issues', 'technology', 'virus']","Fighting viruses, defending the net"
"Actor Thandie Newton tells the story of finding her ""otherness"" -- first, as a child growing up in two distinct cultures, and then as an actor playing with many different selves. A warm, wise talk, fresh from stage at TEDGlobal 2011.","['culture', 'entertainment', 'film', 'psychology', 'self']","Embracing otherness, embracing myself"
"We live in a world run by algorithms, computer programs that make decisions or solve problems for us. In this riveting, funny talk, Kevin Slavin shows how modern algorithms determine stock prices, espionage tactics, even the movies you watch. But, he asks: If we depend on complex algorithms to manage our daily decisions -- when do we start to lose control?","['complexity', 'computers', 'social change', 'technology']",How algorithms shape our world
"Plenty of robots can fly -- but none can fly like a real bird. That is, until Markus Fischer and his team at Festo built SmartBird, a large, lightweight robot, modeled on a seagull, that flies by flapping its wings. A soaring demo fresh from TEDGlobal 2011.","['animals', 'biomechanics', 'biomimicry', 'design', 'robots', 'technology']",A robot that flies like a bird
"British MP Rory Stewart walked across Afghanistan after 9/11, talking with citizens and warlords alike. Now, a decade later, he asks: Why are Western and coalition forces still fighting there? He shares lessons from past military interventions that worked -- Bosnia, for instance -- and shows that humility and local expertise are the keys to success.","['Foreign Policy', 'Middle East', 'global issues', 'military', 'peace', 'war']",Time to end the war in Afghanistan
"Physicist Geoffrey West has found that simple, mathematical laws govern the properties of cities -- that wealth, crime rate, walking speed and many other aspects of a city can be deduced from a single number: the city's population. In this mind-bending talk from TEDGlobal he shows how it works and how similar laws hold for organisms and corporations.","['biology', 'business', 'cities', 'complexity', 'infrastructure', 'math', 'science']",The surprising math of cities and corporations
"Why do we like an original painting better than a forgery? Psychologist Paul Bloom argues that human beings are essentialists -- that our beliefs about the history of an object change how we experience it, not simply as an illusion, but as a deep feature of what pleasure (and pain) is.","['happiness', 'philosophy', 'psychology', 'science']",The origins of pleasure
"Josette Sheeran, the head of the UN's World Food Program, talks about why, in a world with enough food for everyone, people still go hungry, still die of starvation, still use food as a weapon of war. Her vision: ""Food is one issue that cannot be solved person by person. We have to stand together.""","['culture', 'economics', 'food', 'global issues', 'peace', 'politics', 'war']",Ending hunger now
"In our louder and louder world, says sound expert Julian Treasure, ""We are losing our listening."" In this short, fascinating talk, Treasure shares five ways to re-tune your ears for conscious listening -- to other people and the world around you.","['culture', 'social change', 'sound']",5 ways to listen better
"Many of us have a social media presence -- a virtual personality made up of status updates, tweets and connections, stored in the cloud. Adam Ostrow asks a big question: What happens to that personality after you've died? Could it ... live on?","['consciousness', 'culture', 'self', 'social change', 'social media', 'technology']",After your final status update
"What if every light bulb in the world could also transmit data? At TEDGlobal, Harald Haas demonstrates, for the first time, a device that could do exactly that. By flickering the light from a single LED, a change too quick for the human eye to detect, he can transmit far more data than a cellular tower -- and do it in a way that's more efficient, secure and widespread.","['Internet', 'cities', 'invention', 'technology']",Wireless data from every light bulb
"Biologist Mark Pagel shares an intriguing theory about why humans evolved our complex system of language. He suggests that language is a piece of ""social technology"" that allowed early human tribes to access a powerful new tool: cooperation.","['biology', 'communication', 'culture', 'evolution', 'language', 'science']",How language transformed humanity
"Should we keep the outdoors out of hospitals? Ecologist and TED Fellow Jessica Green has found that mechanical ventilation does get rid of many types of microbes, but the wrong kinds: the ones left in the hospital are much more likely to be pathogens.","['TED Fellows', 'health', 'microbiology', 'science']",Are we filtering the wrong microbes?
"Psychologist Philip Zimbardo asks, ""Why are boys struggling?"" He shares some stats (lower graduation rates, greater worries about intimacy and relationships) and suggests a few reasons -- and challenges the TED community to think about solutions. NOTE: Statements in this talk have been challenged by scientists working in this field. ","['culture', 'feminism', 'gaming', 'gender', 'sex']",The demise of guys?
"Poet, writer, activist Eve Ensler lived in her head. In this powerful talk from TEDWomen, she talks about her lifelong disconnection from her body -- and how two shocking events helped her to connect with the reality, the physicality of being human.","['Human body', 'activism', 'brain', 'cancer', 'culture', 'poetry']","Suddenly, my body"
How can cities help save the future? Alex Steffen shows some cool neighborhood-based green projects that expand our access to things we want and need -- while reducing the time we spend in cars.,"['architecture', 'cities', 'collaboration', 'design', 'energy', 'environment', 'green', 'infrastructure', 'technology']",The shareable future of cities
"The world's largest volunteer animal rescue, saved more than 40,000 penguins after an oil spill off the coast of South Africa. Dyan deNapoli tells the triumphant story. How does a job this big get done? Penguin by penguin by penguin ...","['TEDx', 'animals', 'birds', 'collaboration', 'global issues', 'oceans', 'science']",The great penguin rescue
"Here's a crazy idea: Persuade the world to try living in peace for just one day, every September 21. In this energetic, honest talk, Jeremy Gilley tells the story of how this crazy idea became real -- real enough to help millions of kids in war-torn regions.","['activism', 'collaboration', 'global issues', 'nonviolence', 'peace', 'war']",One day of peace
"How do we find planets -- even habitable planets -- around other stars? By looking for tiny dimming as a planet passes in front of its sun, TED Fellow Lucianne Walkowicz and the Kepler mission have found some 1,200 potential new planetary systems. With new techniques, they may even find ones with the right conditions for life.","['TED Fellows', 'exploration', 'science', 'technology', 'telescopes', 'universe']",Finding planets around other stars
"Using three iPods like magical props, Marco Tempest spins a clever, surprisingly heartfelt meditation on truth and lies, art and emotion.","['art', 'design', 'entertainment', 'illusion', 'magic', 'music', 'technology']",The magic of truth and lies (and iPods)
"In this short talk, psychologist Dan Ariely tells two personal stories that explore scientific conflict of interest: How the pursuit of knowledge and insight can be affected, consciously or not, by shortsighted personal goals. When we're thinking about the big questions, he reminds us, let's be aware of our all-too-human brains.","['cognitive science', 'economics', 'medical research', 'science', 'technology']",Beware conflicts of interest
"Sharing the results of a massive, worldwide study, geneticist Svante Pääbo shows the DNA proof that early humans mated with Neanderthals after we moved out of Africa. (Yes, many of us have Neanderthal DNA.) He also shows how a tiny bone from a baby finger was enough to identify a whole new humanoid species.","['DNA', 'biology', 'evolution', 'science']",DNA clues to our inner neanderthal
"In 2003, the Palestinian village of Budrus mounted a 10-month-long nonviolent protest to stop a barrier being built across their olive groves. Did you hear about it? Didn't think so. Brazilian filmmaker Julia Bacha asks why we only pay attention to violence in the Israel-Palestine conflict -- and not to the nonviolent leaders who may one day bring peace.","['communication', 'compassion', 'entertainment', 'film', 'nonviolence', 'peace', 'violence', 'war']",Pay attention to nonviolence
"MIT researcher Skylar Tibbits works on self-assembly -- the idea that instead of building something (a chair, a skyscraper), we can create materials that build themselves, much the way a strand of DNA zips itself together. It's a big concept at early stages; Tibbits shows us three in-the-lab projects that hint at what a self-assembling future might look like.","['TED Fellows', 'design', 'technology']",Can we make things that make themselves?
"Buddhist roshi Joan Halifax works with people at the last stage of life (in hospice and on death row). She shares what she's learned about compassion in the face of death and dying, and a deep insight into the nature of empathy.","['Buddhism', 'compassion', 'culture', 'death', 'global issues']",Compassion and the true meaning of empathy
Every new invention changes the world -- in ways both intentional and unexpected. Historian Edward Tenner tells stories that illustrate the under-appreciated gap between our ability to innovate and our ability to foresee the consequences.,"['culture', 'design', 'history', 'invention', 'technology']",Unintended consequences
Sarah Kaminsky tells the extraordinary story of her father Adolfo and his activity during World War II -- using his ingenuity and talent for forgery to save lives.,"['TEDx', 'culture', 'entertainment', 'global issues', 'history', 'storytelling', 'war']",My father the forger
"Before life existed on Earth, there was just matter, inorganic dead ""stuff."" How improbable is it that life arose? And -- could it use a different type of chemistry? Using an elegant definition of life (anything that can evolve), chemist Lee Cronin is exploring this question by attempting to create a fully inorganic cell using a ""Lego kit"" of inorganic molecules -- no carbon -- that can assemble, replicate and compete.","['biology', 'life', 'nanoscale', 'science']",Making matter come alive
"Artist Raghava KK demos his new children's book for iPad with a fun feature: when you shake it, the story -- and your perspective -- changes. In this charming short talk, he invites all of us to shake up our perspective a little bit.","['books', 'creativity', 'design', 'entertainment', 'storytelling', 'technology']",Shake up your story
"Economist Yasheng Huang compares China to India, and asks how China's authoritarian rule contributed to its astonishing economic growth -- leading to a big question: Is democracy actually holding India back? Huang's answer may surprise you.","['Asia', 'culture', 'democracy', 'economics', 'global issues', 'politics']",Does democracy stifle economic growth?
"Despite multibillion-dollar investments in cybersecurity, one of its root problems has been largely ignored: who are the people who write malicious code? Underworld investigator Misha Glenny profiles several convicted coders from around the world and reaches a startling conclusion.","['Internet', 'computers', 'crime', 'global issues', 'technology']",Hire the hackers!
"Artist Kate Hartman uses wearable electronics to explore how we communicate, with ourselves and with the world. In this quirky and thought-provoking talk, she shows the ""Talk to Yourself Hat"", the ""Inflatable Heart"", the ""Glacier Embracing Suit"", and other unexpected devices.","['art', 'communication', 'culture', 'glacier']",The art of wearable communication
"Cheap and fast genome sequencing is about to turn health care (and insurance, and politics) upside down. Richard Resnick shows how, in this accessible talk.","['Bioethics', 'DNA', 'TEDx', 'biotech', 'health care', 'science', 'technology']",Welcome to the genomic revolution
"TV executive Lauren Zalaznick thinks deeply about pop television. Sharing results of a bold study that tracks attitudes against TV ratings over five decades, she makes a case that television reflects who we truly are -- in ways we might not have expected.","['culture', 'entertainment']",The conscience of television
"In this inspiring talk at the NextGen:Charity conference, Sasha Dichter of the Acumen Fund shares the results of his month-long ""Generosity Experiment"" where he said ""yes"" to every request for help.","['business', 'global issues', 'philanthropy']",The Generosity Experiment
"Over the past few centuries, Western cultures have been very good at creating general prosperity for themselves. Historian Niall Ferguson asks: Why the West, and less so the rest? He suggests half a dozen big ideas from Western culture -- call them the 6 killer apps -- that promote wealth, stability and innovation. And in this new century, he says, these apps are all shareable.","['business', 'culture', 'economics', 'global issues']",The 6 killer apps of prosperity
"Have you played with Google Labs' Ngram Viewer? It's an addicting tool that lets you search for words and ideas in a database of 5 million books from across centuries. Erez Lieberman Aiden and Jean-Baptiste Michel show us how it works, and a few of the surprising things we can learn from 500 billion words.","['Google', 'TEDx', 'data', 'design', 'library', 'technology', 'visualizations', 'writing']",What we learned from 5 million books
"HIV is a serious problem in the DR Congo, and aid agencies have flooded the country with free and cheap condoms. But few people are using them. Why? ""Reformed marketer"" Amy Lockwood offers a surprising answer that upends a traditional model of philanthropy. (Some NSFW images.)","['Africa', 'business', 'global issues', 'marketing', 'philanthropy']",Selling condoms in the Congo
"What is killing the Tasmanian devil? A virulent cancer is infecting them by the thousands  -- and unlike most cancers, it's contagious. Researcher Elizabeth Murchison tells us how she's fighting to save the Taz, and what she's learning about all cancers from this unusual strain. Contains disturbing images of facial cancer.","['animals', 'biology', 'cancer', 'science']",Fighting a contagious cancer
"Studies show that sketching and doodling improve our comprehension -- and our creative thinking. So why do we still feel embarrassed when we're caught doodling in a meeting? Sunni Brown says: Doodlers, unite! She makes the case for unlocking your brain via pad and pen.","['business', 'creativity', 'culture', 'presentation']","Doodlers, unite!"
"Modern medicine is in danger of losing a powerful, old-fashioned tool: human touch. Physician and writer Abraham Verghese describes our strange new world where patients are merely data points, and calls for a return to the traditional one-on-one physical exam.","['communication', 'culture', 'health', 'health care', 'medicine', 'science']",A doctor's touch
"Some kids learn by listening; others learn by doing. Geoff Mulgan gives a short introduction to the Studio School, a new kind of school in the UK where small teams of kids learn by working on projects that are, as Mulgan puts it, ""for real.""","['creativity', 'culture', 'design', 'education', 'work']",A short intro to the Studio School
"Jarreth Merz, a Swiss-Ghanaian filmmaker, came to Ghana in 2008 to film the national elections. What he saw there taught him new lessons about democracy -- and about himself.","['Africa', 'democracy', 'entertainment', 'film', 'global issues', 'politics']",Filming democracy in Ghana
"Every day there are news reports of new health advice, but how can you know if they're right? Doctor and epidemiologist Ben Goldacre shows us, at high speed, the ways evidence can be distorted, from the blindingly obvious nutrition claims to the very subtle tricks of the pharmaceutical industry.","['data', 'health care', 'illness', 'illusion', 'medicine', 'pharmaceuticals', 'science']",Battling bad science
"Can opera be ever-so-slightly sexy? The glorious soprano Danielle de Niese shows how, singing the flirty ""Meine Lippen, sie küssen so heiss."" Which, translated, means, as you might guess: ""I kiss so hot."" From Giuditta by Frans Lehár; accompanist: Ingrid Surgenor.","['creativity', 'entertainment', 'sex', 'theater']",A flirtatious aria
"Yang Lan, a journalist and entrepreneur who's been called ""the Oprah of China,"" offers insight into the next generation of young Chinese citizens -- urban, connected (via microblogs) and alert to injustice.","['Asia', 'china', 'economics', 'global issues', 'media', 'politics']",The generation that's remaking China
"How do we search for alien life if it's nothing like the life that we know? Christoph Adami shows how he uses his research into artificial life -- self-replicating computer programs -- to find a signature, a ""biomarker,"" that is free of our preconceptions of what life is.","['TEDx', 'bacteria', 'biology', 'evolution', 'life', 'science']",Finding life we can't imagine
"Writer and designer Graham Hill asks: Can having less stuff, in less room, lead to more happiness? He makes the case for taking up less space, and lays out three rules for editing your life.","['consumerism', 'culture', 'design', 'happiness', 'media', 'simplicity']","Less stuff, more happiness"
"At his Stanford University commencement speech, Steve Jobs, CEO and co-founder of Apple and Pixar, urges us to pursue our dreams and see the opportunities in life's setbacks -- including death itself.","['business', 'computers', 'creativity', 'death', 'design', 'goal-setting', 'innovation', 'life', 'technology']",How to live before you die
"Less than 10% of plastic trash is recycled -- compared to almost 90% of metals -- because of the massively complicated problem of finding and sorting the different kinds. Frustrated by this waste, Mike Biddle has developed a cheap and incredibly energy efficient plant that can, and does, recycle any kind of plastic.","['business', 'global issues', 'green', 'plastic', 'technology']",We can recycle plastic
"Conductor Charles Hazlewood talks about the role of trust in musical leadership -- then shows how it works, as he conducts the Scottish Ensemble onstage. He also shares clips from two musical projects: the opera ""U-Carmen eKhayelitsha"" and the ParaOrchestra.","['collaboration', 'conducting', 'culture', 'entertainment', 'music', 'trust']",Trusting the ensemble
"""Babies and young children are like the R&D division of the human species,"" says psychologist Alison Gopnik. Her research explores the sophisticated intelligence-gathering and decision-making that babies are really doing when they play.","['brain', 'children', 'culture', 'education', 'psychology']",What do babies think?
"A story, a work of art, a face, a designed object -- how do we tell that something is beautiful?  And why does it matter so much to us? Designer Richard Seymour explores our response to beauty and the surprising power of objects that exhibit it.","['Senses', 'art', 'beauty', 'design', 'happiness']",How beauty feels
"Imagine it's late 1990, and you've just met a nice young man named Tim Berners-Lee, who starts telling you about his proposed system called the World Wide Web. Ian Ritchie was there. And ... he didn't buy it. A short story about information, connectivity and learning from mistakes.","['business', 'history', 'technology', 'web']",The day I turned down Tim Berners-Lee
"On any given day we're lied to from 10 to 200 times, and the clues to detect those lie can be subtle and counter-intuitive. Pamela Meyer, author of Liespotting, shows the manners and ""hotspots"" used by those trained to recognize deception -- and she argues honesty is a value worth preserving.","['culture', 'psychology', 'science', 'society']",How to spot a liar
"Here's a powerful provocation from artist Jae Rhim Lee. Can we commit our bodies to a cleaner, greener Earth, even after death? Naturally -- using a special burial suit seeded with pollution-gobbling mushrooms. Yes, this just might be the strangest TEDTalk you'll ever see ...","['TED Fellows', 'art', 'death', 'design', 'green', 'invention']",My mushroom burial suit
"In Rajasthan, India, an extraordinary school teaches rural women and men -- many of them illiterate -- to become solar engineers, artisans, dentists and doctors in their own villages. It's called the Barefoot College, and its founder, Bunker Roy, explains how it works.","['culture', 'education', 'global development', 'global issues', 'india', 'invention', 'women']",Learning from a barefoot movement
"What would happen if we could generate power from our windowpanes? In this moving talk, entrepreneur Justin Hall-Tipping shows the materials that could make that possible, and how questioning our notion of 'normal' can lead to extraordinary breakthroughs.","['energy', 'entrepreneur', 'environment', 'science', 'technology']",Freeing energy from the grid
"Nations can now attack other nations with cyber weapons: silent strikes on another country's computer systems, power grids, dams that leave no trace behind. (Think of the Stuxnet worm.) Guy-Philippe Goldstein shows how cyberattacks can leap between the digital and physical worlds to prompt armed conflict -- and how we might avert this global security hazard.","['TEDx', 'computers', 'global issues', 'politics', 'security', 'technology', 'terrorism', 'war']",How cyberattacks threaten real-world peace
"Physiatrist and engineer Todd Kuiken is building a prosthetic arm that connects with the human nervous system -- improving motion, control and even feeling. Onstage, patient Amanda Kitts helps demonstrate this next-gen robotic arm.","['Senses', 'design', 'engineering', 'invention', 'medicine', 'prosthetics', 'science', 'technology']","A prosthetic arm that ""feels"""
Artist Nathalie Miebach takes weather data from massive storms and turns it into complex sculptures that embody the forces of nature and time. These sculptures then become musical scores for a string quartet to play.,"['TED Fellows', 'art', 'data', 'visualizations', 'weather']",Art made of storms
"We feel instinctively that societies with huge income gaps are somehow going wrong. Richard Wilkinson charts the hard data on economic inequality, and shows what gets worse when rich and poor are too far apart: real effects on health, lifespan, even such basic values as trust.","['culture', 'data', 'global issues', 'inequality', 'money', 'social change', 'visualizations']",How economic inequality harms societies
"Psychiatrist Iain McGilchrist describes the real differences between the left and right halves of the human brain. It's not simply ""emotion on the right, reason on the left,"" but something far more complex and interesting. A Best of the Web talk from RSA Animate.","['brain', 'culture', 'neuroscience', 'science']",The divided brain
"Master storyteller Malcolm Gladwell tells the tale of the Norden bombsight, a groundbreaking piece of World War II technology with a deeply unexpected result.","['drones', 'invention', 'war']",The strange tale of the Norden bombsight
"How does cancer know it's cancer? At Jay Bradner's lab, they found a molecule that might hold the answer, JQ1. But instead of patenting it and reaping the profits (as many other labs have done) -- they published their findings and mailed samples to 40 other labs to work on. An inspiring look at the open-source future of medical research.","['DNA', 'TEDx', 'business', 'cancer', 'chemistry', 'collaboration', 'community', 'crowdsourcing', 'genetics', 'medical research', 'molecular biology', 'open-source', 'science']",Open-source cancer research
"With scissors and paper, artist Béatrice Coron creates intricate worlds, cities and countries, heavens and hells. Striding onstage in a glorious cape cut from Tyvek, she describes her creative process and the way her stories develop from snips and slices.","['art', 'creativity', 'storytelling']",Stories cut from paper
"After he ended up on a watch list by accident, Hasan Elahi was advised by his local FBI agents to let them know when he was traveling. He did that and more ... much more.","['Surveillance', 'art', 'data', 'security', 'war', 'web']","FBI, here I am!"
"What drives our desire to behave morally? Neuroeconomist Paul Zak shows why he believes oxytocin (he calls it ""the moral molecule"") is responsible for trust, empathy and other feelings that help build a stable society. NOTE: Research and statements in this talk have been challenged by other scientists working in this field. ","['behavioral economics', 'biology', 'brain', 'chemistry', 'cognitive science', 'culture', 'empathy', 'happiness', 'medicine', 'mind', 'molecular biology', 'morality', 'neuroscience', 'psychology', 'science', 'sociology']","Trust, morality -- and oxytocin?"
"A flying car -- it's an iconic image of the future. But after 100 years of flight and automotive engineering, no one has really cracked the problem. Pilot Anna Mracek Dietrich and her team flipped the question, asking: Why not build a plane that you can drive?","['cars', 'design', 'flight', 'invention', 'transportation']",A plane you can drive
"Neuroscientist Daniel Wolpert starts from a surprising premise: the brain evolved, not to think or feel, but to control movement. In this entertaining, data-rich talk he gives us a glimpse into how the brain creates the grace and agility of human motion.","['AI', 'biology', 'biomechanics', 'brain', 'cognitive science', 'consciousness', 'decision-making', 'engineering', 'evolution', 'math', 'neuroscience', 'robots', 'science']",The real reason for brains
"Using sleight-of-hand techniques and charming storytelling, illusionist Marco Tempest brings a jaunty stick figure to life onstage at TEDGlobal.","['entertainment', 'magic', 'technology']","Augmented reality, techno-magic"
